2)regulatorName,3)RegulatorGeneName,5)regulatedName,6)function,7)confidenceLevel 
ppGpp,,fkpA,+,W 
ppGpp,,ysgA,+,W 
ppGpp,,blc,+,W 
ppGpp,,yjfY,+,W 
ppGpp,,yjgH,+,W 
ppGpp,,iraD,+,W 
ppGpp,,ilvG,+,W 
AcnB,acnB,acnB,+,W 
DicF,dicF,ftsZ,-,S 
DicF,dicF,manX,-,S 
DicF,dicF,pykA,-,S 
DicF,dicF,xylR,-,S 
DsrA,dsrA,hns,-,S 
DsrA,dsrA,rpoS,+,W 
DsrA,dsrA,lrp,-,S 
DsrA,dsrA,rbsA,-,S 
DsrA,dsrA,rbsB,-,S 
DsrA,dsrA,rbsC,-,S 
DsrA,dsrA,rbsD,-,S 
DsrA,dsrA,rbsK,-,S 
DsrA,dsrA,rbsR,-,S 
DsrA,dsrA,rbsZ,-,S 
DeaD,deaD,ldtD,+,W 
Hfq,hfq,manX,-,C 
Pnp,pnp,pnp,-,W 
RplA,rplA,rplA,-,W 
RplA,rplA,rplJ,-,W 
RplA,rplA,rplK,-,W 
RplA,rplA,rplL,-,W 
RplA,rplA,rpoB,-,W 
RplA,rplA,rpoC,-,W 
RplD,rplD,tnaA,-,C 
RplM,rplM,rplM,-,S 
RplM,rplM,rpsI,-,S 
RplT,rplT,rplT,-,S 
RplT,rplT,rpmI,-,S 
RplY,rplY,rplY,-,S 
RpmE,rpmE,rpmE,-,S 
RpsA,rpsA,fis,+,W 
RpsA,rpsA,manY,+,S 
RpsA,rpsA,pnp,+,W 
RpsA,rpsA,rpsA,-,S 
RpsA,rpsA,rpsO,+,W 
RpsB,rpsB,rpsB,-,W 
RpsB,rpsB,tsf,-,W 
RpsB,rpsB,tff,-,W 
RpsD,rpsD,rplQ,-,W 
RpsD,rpsD,rpsD,-,W 
RpsD,rpsD,rpsK,-,W 
RpsD,rpsD,rpsM,-,W 
RpsG,rpsG,fusA,-,W 
RpsG,rpsG,rpsG,-,W 
RpsG,rpsG,rpsL,-,W 
RpsG,rpsG,tufA,-,W 
RpsH,rpsH,secY,-,S 
RpsH,rpsH,rplE,-,S 
RpsH,rpsH,rplF,-,S 
RpsH,rpsH,rplN,-,S 
RpsH,rpsH,rplO,-,S 
RpsH,rpsH,rplR,-,S 
RpsH,rpsH,rplX,-,S 
RpsH,rpsH,rpmD,-,S 
