regulator,gene_name,gene_id,effect,evidence,source
GntR,gntK,b3437,-,2,RegulonDB_TF
H-NS,casD,b2757,-,2,RegulonDB_TF
H-NS,casC,b2758,-,2,RegulonDB_TF
H-NS,casB,b2759,-,2,RegulonDB_TF
H-NS,casA,b2760,-,2,RegulonDB_TF
SutR,ydcO,b1433,-,2,RegulonDB_TF
SoxS,acrB,b0462,+,2,RegulonDB_TF
SoxS,acrA,b0463,+,2,RegulonDB_TF
SutR,sutR,b1434,-+,2,RegulonDB_TF
RcsAB,flhD,b1892,-,2,RegulonDB_TF
RcsAB,flhC,b1891,-,2,RegulonDB_TF
RhaR,rhaR,b3906,+,2,RegulonDB_TF
RhaR,rhaS,b3905,+,2,RegulonDB_TF
AscG,ascB,b2716,-,2,RegulonDB_TF
AscG,ascF,b2715,-,2,RegulonDB_TF
AscG,prpR,b0330,-,2,RegulonDB_TF
CueR,cueO,b0123,+,2,RegulonDB_TF
SoxS,ribA,b1277,+,2,RegulonDB_TF
SoxS,acnA,b1276,+,2,RegulonDB_TF
SoxS,nfsA,b0851,+,2,RegulonDB_TF
SoxS,zwf,b1852,+,2,RegulonDB_TF
CueR,copA,b0484,+,2,RegulonDB_TF
H-NS,casE,b2756,-,2,RegulonDB_TF
H-NS,cas1,b2755,-,2,RegulonDB_TF
SoxS,ybjC,b0850,+,2,RegulonDB_TF
SoxS,pqiC,b0952,+,2,RegulonDB_TF
GntR,gntU,b4476,-,2,RegulonDB_TF
GlpR,glpB,b2242,-,2,RegulonDB_TF
GlpR,glpC,b2243,-,2,RegulonDB_TF
GlpR,glpD,b3426,-,2,RegulonDB_TF
UxuR,uxuB,b4323,-,2,RegulonDB_TF
GlpR,glpQ,b2239,-,2,RegulonDB_TF
GlpR,glpT,b2240,-,2,RegulonDB_TF
SoxS,ydbK,b1378,+,2,RegulonDB_TF
SoxS,ompN,b1377,+,2,RegulonDB_TF
SoxS,pqiB,b0951,+,2,RegulonDB_TF
SoxS,uof,b4637,+,2,RegulonDB_TF
H-NS,mdtI,b1599,-,2,RegulonDB_TF
H-NS,mdtJ,b1600,-,2,RegulonDB_TF
SoxS,pqiA,b0950,+,2,RegulonDB_TF
SoxS,ybjN,b0853,+,2,RegulonDB_TF
UxuR,gntP,b4321,-,2,RegulonDB_TF
RcsAB,wzb,b2061,+,2,RegulonDB_TF
RcsAB,wzc,b2060,+,2,RegulonDB_TF
RcsAB,wcaA,b2059,+,2,RegulonDB_TF
PdeL,pdeL,b0315,+,2,RegulonDB_TF
PhoB,ugpB,b3453,-+,2,RegulonDB_TF
PhoB,ugpC,b3450,-+,2,RegulonDB_TF
PhoB,ugpE,b3451,-+,2,RegulonDB_TF
RpoD,hns,b1237,+,2,RegulonDB_sigma
PuuR,puuR,b1299,-,2,RegulonDB_TF
YqhC,dkgA,b3012,+,2,RegulonDB_TF
Fnr,cydB,b0734,-+,2,RegulonDB_TF
Fnr,cydA,b0733,-+,2,RegulonDB_TF
FrlR,frlR,b3375,-,2,RegulonDB_TF
FrlR,frlD,b3374,-,2,RegulonDB_TF
DpiA,citG,b0613,+,2,RegulonDB_TF
XynR,yagF,b0269,-,2,RegulonDB_TF
XynR,yagE,b0268,-,2,RegulonDB_TF
RpoD,grcA,b2579,+,2,RegulonDB_sigma
XynR,yagB,b0266,-,2,RegulonDB_TF
XynR,yagA,b0267,-,2,RegulonDB_TF
ArcA,glcA,b2975,-,2,RegulonDB_TF
ArcA,glcG,b2977,-,2,RegulonDB_TF
ArcA,glcE,b4468,-,2,RegulonDB_TF
DpiA,citD,b0617,+,2,RegulonDB_TF
DpiA,citC,b0618,+,2,RegulonDB_TF
ArcA,glcD,b2979,-,2,RegulonDB_TF
ArcA,glcC,b2980,-,2,RegulonDB_TF
H-NS,leuO,b0076,-,2,RegulonDB_TF
RpoS,fic,b3361,+,2,RegulonDB_sigma
PuuR,ymjE,b4742,-,2,RegulonDB_TF
YqhC,yqhD,b3011,+,2,RegulonDB_TF
RpoD,glyA,b2551,+,2,RegulonDB_sigma
PlaR,yiaK,b3575,-,2,RegulonDB_TF
CpxR,cpxP,b4484,+,2,RegulonDB_TF
GcvA,gcvA,b2808,-,2,RegulonDB_TF
GcvA,gcvT,b2905,-+,2,RegulonDB_TF
PlaR,yiaL,b3576,-,2,RegulonDB_TF
H-NS,cadA,b4131,-,2,RegulonDB_TF
H-NS,cadB,b4132,-,2,RegulonDB_TF
GcvA,gcvH,b2904,-+,2,RegulonDB_TF
H-NS,cspA,b3556,-,2,RegulonDB_TF
RelB-RelE,relE,b1563,-,2,RegulonDB_TF
RelB-RelE,relB,b1564,-,2,RegulonDB_TF
