regulator,gene_name,gene_id,effect,evidence,source
SlyA,sgcR,b4300,-,1,RegulonDB_TF
SlyA,sgcE,b4301,-,1,RegulonDB_TF
SlyA,sgcQ,b4303,-,1,RegulonDB_TF
SlyA,yjiN,b4336,+,1,RegulonDB_TF
Fnr,aspA,b4139,+,1,RegulonDB_TF
Fnr,aroP,b0112,+,1,RegulonDB_TF
Fnr,arcA,b4401,-+,1,RegulonDB_TF
Fnr,adhE,b1241,+,1,RegulonDB_TF
Fnr,aceF,b0115,-+,1,RegulonDB_TF
Fnr,aceE,b0114,-+,1,RegulonDB_TF
Nac,yhcC,b3211,+,1,RegulonDB_TF
Nac,ubiU,b3158,-,1,RegulonDB_TF
Nac,ugd,b2028,-,1,RegulonDB_TF
Nac,wcaE,b2055,+,1,RegulonDB_TF
Nac,wzc,b2060,-,1,RegulonDB_TF
Nac,wzb,b2061,-,1,RegulonDB_TF
Nac,wza,b2062,-,1,RegulonDB_TF
Nac,yegH,b2063,+,1,RegulonDB_TF
Nac,yegL,b2073,-,1,RegulonDB_TF
Nac,yegR,b2085,-,1,RegulonDB_TF
Fnr,pdhR,b0113,-+,1,RegulonDB_TF
Fnr,ung,b2580,+,1,RegulonDB_TF
Nac,yfbK,b2270,-,1,RegulonDB_TF
Nac,yfbL,b2271,+,1,RegulonDB_TF
Fnr,thrA,b0002,+,1,RegulonDB_TF
Nac,yfbV,b2295,-,1,RegulonDB_TF
Nac,yfcO,b2332,-,1,RegulonDB_TF
Nac,yfcP,b2333,-,1,RegulonDB_TF
Nac,emrK,b2368,-,1,RegulonDB_TF
Nac,yfdE,b2371,-,1,RegulonDB_TF
Nac,yfdV,b2372,+,1,RegulonDB_TF
Nac,alaC,b2379,-,1,RegulonDB_TF
Nac,mntH,b2392,-,1,RegulonDB_TF
Nac,pdxK,b2418,-,1,RegulonDB_TF
Nac,yfeK,b2419,+,1,RegulonDB_TF
Nac,yfeS,b2420,-,1,RegulonDB_TF
Nac,wcaF,b2054,+,1,RegulonDB_TF
Nac,yeeZ,b2016,-,1,RegulonDB_TF
Nac,pdeF,b2503,-,1,RegulonDB_TF
Nac,shiA,b1981,-,1,RegulonDB_TF
Fnr,moaE,b0785,+,1,RegulonDB_TF
Fnr,moaD,b0784,+,1,RegulonDB_TF
Nac,nudG,b1759,-,1,RegulonDB_TF
Fnr,moaB,b0782,+,1,RegulonDB_TF
Fnr,moaA,b0781,+,1,RegulonDB_TF
Nac,ynjH,b1760,-,1,RegulonDB_TF
Nac,yobF,b1824,+,1,RegulonDB_TF
Nac,kdgR,b1827,-,1,RegulonDB_TF
Nac,yebQ,b1828,-,1,RegulonDB_TF
Nac,rsmF,b1835,-,1,RegulonDB_TF
Nac,yobA,b1841,+,1,RegulonDB_TF
Nac,yobB,b1843,-,1,RegulonDB_TF
Nac,znuA,b1857,-,1,RegulonDB_TF
Nac,uspC,b1895,+,1,RegulonDB_TF
Nac,ftnB,b1902,+,1,RegulonDB_TF
Fnr,gltF,b3214,-,1,RegulonDB_TF
Fnr,upp,b2498,+,1,RegulonDB_TF
Nac,dcyD,b1919,+,1,RegulonDB_TF
Fnr,dcuA,b4138,+,1,RegulonDB_TF
Nac,yedL,b1932,-,1,RegulonDB_TF
Nac,hchA,b1967,-,1,RegulonDB_TF
Nac,hprR,b1969,-,1,RegulonDB_TF
Nac,mtfA,b1976,-,1,RegulonDB_TF
Nac,eutS,b2462,+,1,RegulonDB_TF
Nac,yfgG,b2504,+,1,RegulonDB_TF
Nac,ubiT,b3157,-,1,RegulonDB_TF
Nac,yqeJ,b2848,+,1,RegulonDB_TF
Nac,yqeK,b2849,+,1,RegulonDB_TF
Nac,ygeG,b2851,-,1,RegulonDB_TF
Nac,xdhA,b2866,-,1,RegulonDB_TF
Nac,yqeB,b2875,-,1,RegulonDB_TF
Nac,scpB,b2919,-,1,RegulonDB_TF
Nac,yggP,b4465,-,1,RegulonDB_TF
Nac,yghG,b2971,+,1,RegulonDB_TF
Nac,glcA,b2975,+,1,RegulonDB_TF
Nac,yghS,b2985,-,1,RegulonDB_TF
Nac,yghT,b2986,-,1,RegulonDB_TF
Nac,dkgA,b3012,-,1,RegulonDB_TF
Fnr,katG,b3942,+,1,RegulonDB_TF
Nac,ygiZ,b3027,-,1,RegulonDB_TF
Nac,ygjH,b3074,+,1,RegulonDB_TF
Nac,yhaI,b3104,-,1,RegulonDB_TF
Nac,yraH,b3142,-,1,RegulonDB_TF
Nac,yqeH,b2846,+,1,RegulonDB_TF
Nac,yfgH,b2505,-,1,RegulonDB_TF
Nac,kduI,b2843,-,1,RegulonDB_TF
Nac,csiE,b2535,-,1,RegulonDB_TF
Nac,hcaR,b2537,+,1,RegulonDB_TF
Nac,yfhL,b2562,-,1,RegulonDB_TF
Nac,yfiR,b2603,-,1,RegulonDB_TF
Nac,yfjI,b2625,-,1,RegulonDB_TF
Nac,abpA,b2628,-,1,RegulonDB_TF
Nac,rnlB,b2631,-,1,RegulonDB_TF
Nac,glaH,b2659,-,1,RegulonDB_TF
Nac,ygaV,b2667,-,1,RegulonDB_TF
Nac,ygaP,b2668,-,1,RegulonDB_TF
Nac,ygaM,b2672,-,1,RegulonDB_TF
Nac,ygaZ,b2682,-,1,RegulonDB_TF
Nac,pphB,b2734,-,1,RegulonDB_TF
Nac,ispD,b2747,-,1,RegulonDB_TF
Nac,queD,b2765,-,1,RegulonDB_TF
Nac,ygcO,b2767,-,1,RegulonDB_TF
Nac,ygcP,b2768,-,1,RegulonDB_TF
Nac,ygcS,b2771,-,1,RegulonDB_TF
Nac,ygcE,b2776,-,1,RegulonDB_TF
Fnr,pykA,b1854,+,1,RegulonDB_TF
Nac,gudX,b2788,-,1,RegulonDB_TF
Nac,queF,b2794,-,1,RegulonDB_TF
Nac,ygdR,b2833,-,1,RegulonDB_TF
NtrC,hisM,b2307,+,1,RegulonDB_TF
NtrC,argT,b2310,+,1,RegulonDB_TF
NtrC,hisP,b2306,+,1,RegulonDB_TF
ppGpp,murJ,b1069,+,1,PMID:30971496
ppGpp,recF,b3700,+,1,PMID:30971496
ppGpp,mrcA,b3396,+,1,PMID:30971496
NtrC,hisJ,b2309,+,1,RegulonDB_TF
NtrC,hisQ,b2308,+,1,RegulonDB_TF
ppGpp,pitA,b3493,+,1,PMID:30971496
CysB,cysC,b2750,+,1,RegulonDB_TF
CysB,cysD,b2752,+,1,RegulonDB_TF
ppGpp,pheP,b0576,+,1,PMID:30971496
ppGpp,aroB,b3389,+,1,PMID:30971496
ppGpp,uraA,b2497,+,1,PMID:30971496
ppGpp,rnhB,b0183,+,1,PMID:30971496
ppGpp,rpsT,b0023,+,1,PMID:30971496
CysB,cysN,b2751,+,1,RegulonDB_TF
ppGpp,mrdA,b0635,+,1,PMID:30971496
ppGpp,efp,b4147,+,1,PMID:30971496
ppGpp,uhpB,b3668,+,1,PMID:30971496
ppGpp,pyrD,b0945,+,1,PMID:30971496
ppGpp,rpoA,b3295,+,1,PMID:30971496
NtrC,yhdX,b3269,+,1,RegulonDB_TF
BirA,bioB,b0775,-,1,RegulonDB_TF
ppGpp,yejM,b2188,+,1,PMID:30971496
ppGpp,argS,b1876,+,1,PMID:30971496
BirA,bioC,b0777,-,1,RegulonDB_TF
BirA,bioD,b0778,-,1,RegulonDB_TF
BirA,bioF,b0776,-,1,RegulonDB_TF
ppGpp,rplY,b2185,+,1,PMID:30971496
NtrC,rutD,b1009,+,1,RegulonDB_TF
NtrC,rutC,b1010,+,1,RegulonDB_TF
NtrC,rutB,b1011,+,1,RegulonDB_TF
NtrC,rutA,b1012,+,1,RegulonDB_TF
NtrC,ddpF,b1483,+,1,RegulonDB_TF
NtrC,ddpD,b1484,+,1,RegulonDB_TF
NtrC,ddpC,b1485,+,1,RegulonDB_TF
NtrC,ddpB,b1486,+,1,RegulonDB_TF
NtrC,ddpA,b1487,+,1,RegulonDB_TF
NtrC,ddpX,b1488,+,1,RegulonDB_TF
BirA,bioA,b0774,-,1,RegulonDB_TF
ppGpp,infA,b0884,+,1,PMID:30971496
ppGpp,rlmG,b3084,+,1,PMID:30971496
ppGpp,ynjE,b1757,+,1,PMID:30971496
ppGpp,ybjL,b0847,+,1,PMID:30971496
ppGpp,opgE,b0815,+,1,PMID:30971496
ppGpp,rarD,b3819,+,1,PMID:30971496
ppGpp,rfbD,b2040,+,1,PMID:30971496
ppGpp,rimO,b0835,+,1,PMID:30971496
ppGpp,nlpI,b3163,+,1,PMID:30971496
ppGpp,gluQ,b0144,+,1,PMID:30971496
ppGpp,pyrG,b2780,+,1,PMID:30971496
ppGpp,rplL,b3986,+,1,PMID:30971496
ppGpp,rpsK,b3297,+,1,PMID:30971496
ppGpp,rpsM,b3298,+,1,PMID:30971496
NtrC,yhdY,b3270,+,1,RegulonDB_TF
NtrC,yhdZ,b3271,+,1,RegulonDB_TF
NtrC,rutG,b1006,+,1,RegulonDB_TF
NtrC,rutF,b1007,+,1,RegulonDB_TF
NtrC,rutE,b1008,+,1,RegulonDB_TF
ppGpp,mepS,b2175,+,1,PMID:30971496
ppGpp,ldtB,b0819,+,1,PMID:30971496
YdeO,appA,b0980,+,1,RegulonDB_TF
PurR,codB,b0336,-,1,RegulonDB_TF
YdeO,nhaR,b0020,+,1,RegulonDB_TF
YdeO,appB,b0979,+,1,RegulonDB_TF
YdeO,appC,b0978,+,1,RegulonDB_TF
PurR,codA,b0337,-,1,RegulonDB_TF
YdeO,yiiS,b3922,+,1,RegulonDB_TF
PurR,speB,b2937,-,1,RegulonDB_TF
YdeO,uspD,b3923,+,1,RegulonDB_TF
YdeO,dctR,b3507,+,1,RegulonDB_TF
YdeO,slp,b3506,+,1,RegulonDB_TF
PurR,speA,b2938,-,1,RegulonDB_TF
GadRcs,aslB,b3800,+,1,RegulonDB_TF
YdeO,appX,b4592,+,1,RegulonDB_TF
YcjW,ompG,b1319,-,1,RegulonDB_TF
YcjW,ycjM,b1309,-,1,RegulonDB_TF
YcjW,ycjN,b1310,-,1,RegulonDB_TF
YcjW,ycjO,b1311,-,1,RegulonDB_TF
YcjW,ycjP,b1312,-,1,RegulonDB_TF
YcjW,ycjQ,b1313,-,1,RegulonDB_TF
YcjW,ycjR,b1314,-,1,RegulonDB_TF
YcjW,ycjS,b1315,-,1,RegulonDB_TF
FadR,fabA,b0954,+,1,RegulonDB_TF
YcjW,ycjT,b1316,-,1,RegulonDB_TF
GadRcs,adiC,b4115,+,1,RegulonDB_TF
GadRcs,yhiM,b3491,+,1,RegulonDB_TF
GadRcs,slp,b3506,+,1,RegulonDB_TF
GadRcs,dctR,b3507,+,1,RegulonDB_TF
GadRcs,cadB,b4132,+,1,RegulonDB_TF
GadRcs,cadA,b4131,+,1,RegulonDB_TF
YcjW,ycjU,b1317,-,1,RegulonDB_TF
PurR,pyrD,b0945,-,1,RegulonDB_TF
MatA,flhC,b1891,-,1,RegulonDB_TF
YgiV,mcbR,b1450,-,1,RegulonDB_TF
DeoR,tsx,b0411,-,1,RegulonDB_TF
MatA,tcyJ,b1920,-,1,RegulonDB_TF
MatA,matA,b0294,+,1,RegulonDB_TF
MatA,ecpA,b0293,+,1,RegulonDB_TF
MatA,fliZ,b1921,-,1,RegulonDB_TF
MatA,fliA,b1922,-,1,RegulonDB_TF
MatA,fliC,b1923,-,1,RegulonDB_TF
MatA,flhD,b1892,-,1,RegulonDB_TF
PurR,purL,b2557,-,1,RegulonDB_TF
PurR,purK,b0522,-,1,RegulonDB_TF
PurR,purE,b0523,-,1,RegulonDB_TF
PurR,prs,b1207,-,1,RegulonDB_TF
PurR,guaB,b2508,-,1,RegulonDB_TF
PurR,guaA,b2507,-,1,RegulonDB_TF
PurR,glnB,b2553,-,1,RegulonDB_TF
UxuR,exuR,b3094,-,1,RegulonDB_TF
UxuR,lgoR,b4357,-,1,RegulonDB_TF
UxuR,lgoD,b4358,-,1,RegulonDB_TF
MntR,mntS,b4705,-,1,RegulonDB_TF
Fnr,moaC,b0783,+,1,RegulonDB_TF
Nac,ynjF,b1758,+,1,RegulonDB_TF
Nac,cheA,b1888,+,1,RegulonDB_TF
Nac,bglB,b3721,-,1,RegulonDB_TF
Nac,bfr,b3336,+,1,RegulonDB_TF
Nac,mdtG,b1053,-,1,RegulonDB_TF
Nac,gspO,b3335,+,1,RegulonDB_TF
Nac,asnC,b3743,-,1,RegulonDB_TF
Nac,amiB,b4169,-,1,RegulonDB_TF
Nac,bglH,b3720,-,1,RegulonDB_TF
Nac,ubiA,b4040,-,1,RegulonDB_TF
Nac,ahpC,b0605,+,1,RegulonDB_TF
Nac,uspA,b3495,-,1,RegulonDB_TF
Nac,osmY,b4376,-,1,RegulonDB_TF
Nac,dadA,b1189,+,1,RegulonDB_TF
Nac,cynR,b0338,-,1,RegulonDB_TF
Nac,msrA,b4219,+,1,RegulonDB_TF
Nac,marR,b1530,+,1,RegulonDB_TF
Nac,gcvT,b2905,-,1,RegulonDB_TF
Nac,yigI,b3820,+,1,RegulonDB_TF
Nac,yigL,b3826,+,1,RegulonDB_TF
Nac,pabC,b1096,-,1,RegulonDB_TF
Nac,holE,b1842,-,1,RegulonDB_TF
Nac,gltF,b3214,-+,1,RegulonDB_TF
Nac,asnA,b3744,-,1,RegulonDB_TF
Nac,aroF,b2601,-,1,RegulonDB_TF
Nac,bisC,b3551,+,1,RegulonDB_TF
Nac,waaG,b3631,-,1,RegulonDB_TF
Nac,ycgB,b1188,-,1,RegulonDB_TF
Nac,lysP,b2156,-,1,RegulonDB_TF
Nac,rimP,b3170,-,1,RegulonDB_TF
Nac,mscL,b3291,-,1,RegulonDB_TF
Nac,bfd,b3337,-,1,RegulonDB_TF
Nac,mioC,b3742,-,1,RegulonDB_TF
Nac,ydiB,b1692,-,1,RegulonDB_TF
Nac,pdeL,b0315,-,1,RegulonDB_TF
Nac,ycaC,b0897,-,1,RegulonDB_TF
Nac,ycaD,b0898,-,1,RegulonDB_TF
Nac,cpdB,b4213,-,1,RegulonDB_TF
Nac,moeA,b0827,+,1,RegulonDB_TF
Nac,chpS,b4224,-,1,RegulonDB_TF
Nac,ychA,b1214,-,1,RegulonDB_TF
Nac,iraP,b0382,-,1,RegulonDB_TF
Nac,yifB,b3765,-,1,RegulonDB_TF
Nac,ilvL,b3766,+,1,RegulonDB_TF
Nac,tnaC,b3707,+,1,RegulonDB_TF
Nac,pyrL,b4246,+,1,RegulonDB_TF
Nac,leuL,b0075,+,1,RegulonDB_TF
Nac,wzzE,b3785,+,1,RegulonDB_TF
Nac,dsbA,b3860,-,1,RegulonDB_TF
Nac,gabD,b2661,+,1,RegulonDB_TF
Nac,gabP,b2663,+,1,RegulonDB_TF
Nac,ligB,b3647,-,1,RegulonDB_TF
Nac,yhcA,b3215,-,1,RegulonDB_TF
Nac,ybfC,b0704,-,1,RegulonDB_TF
Nac,argO,b2923,+,1,RegulonDB_TF
Nac,cbrC,b3717,-,1,RegulonDB_TF
Nac,yieP,b3755,-,1,RegulonDB_TF
Nac,phoH,b1020,-,1,RegulonDB_TF
Nac,rsd,b3995,-,1,RegulonDB_TF
Nac,nfrB,b0569,-,1,RegulonDB_TF
Nac,ybbC,b0498,-,1,RegulonDB_TF
Nac,cmtB,b2934,+,1,RegulonDB_TF
Nac,cmtA,b2933,+,1,RegulonDB_TF
Nac,rlmM,b2806,+,1,RegulonDB_TF
Nac,amn,b1982,-,1,RegulonDB_TF
Nac,hofC,b0106,-,1,RegulonDB_TF
Nac,torA,b0997,-,1,RegulonDB_TF
Nac,ackA,b2296,+,1,RegulonDB_TF
Nac,aceB,b4014,-,1,RegulonDB_TF
Nac,mobA,b3857,-,1,RegulonDB_TF
Nac,yihD,b3858,+,1,RegulonDB_TF
Nac,hemN,b3867,-,1,RegulonDB_TF
Nac,yihL,b3872,-,1,RegulonDB_TF
Nac,yihO,b3876,-,1,RegulonDB_TF
Nac,yihQ,b3878,-,1,RegulonDB_TF
Nac,yiiE,b3889,-,1,RegulonDB_TF
Nac,yiiF,b3890,-,1,RegulonDB_TF
Nac,fdoG,b3894,-,1,RegulonDB_TF
Nac,fdhD,b3895,-,1,RegulonDB_TF
Nac,ampD,b0110,-,1,RegulonDB_TF
Nac,cbrB,b3716,-,1,RegulonDB_TF
Nac,cfa,b1661,-,1,RegulonDB_TF
Nac,yieH,b3715,-,1,RegulonDB_TF
Nac,ibpA,b3687,+,1,RegulonDB_TF
Nac,aroE,b3281,-,1,RegulonDB_TF
Nac,aroD,b1693,-,1,RegulonDB_TF
Nac,wrbA,b1004,+,1,RegulonDB_TF
Nac,gadE,b3512,+,1,RegulonDB_TF
Nac,nadC,b0109,-,1,RegulonDB_TF
Nac,greB,b3406,-,1,RegulonDB_TF
Nac,ygiF,b3054,-,1,RegulonDB_TF
Nac,evgA,b2369,-,1,RegulonDB_TF
Nac,eptA,b4114,-,1,RegulonDB_TF
Nac,eamA,b1533,-,1,RegulonDB_TF
Nac,ydeE,b1534,+,1,RegulonDB_TF
Nac,yafC,b0208,-,1,RegulonDB_TF
Nac,yafD,b0209,+,1,RegulonDB_TF
Nac,araF,b1901,-,1,RegulonDB_TF
Nac,araE,b2841,-,1,RegulonDB_TF
Nac,ansB,b2957,-,1,RegulonDB_TF
Nac,yadC,b0135,-,1,RegulonDB_TF
Nac,cysQ,b4214,+,1,RegulonDB_TF
Nac,yicJ,b3657,+,1,RegulonDB_TF
Nac,nudC,b3996,-,1,RegulonDB_TF
Nac,yidQ,b3688,+,1,RegulonDB_TF
Nac,yieE,b3712,-,1,RegulonDB_TF
Nac,yhaB,b3120,+,1,RegulonDB_TF
Nac,ygdB,b2824,-,1,RegulonDB_TF
Nac,yjaH,b4001,+,1,RegulonDB_TF
Nac,malI,b1620,-,1,RegulonDB_TF
Nac,map,b0168,+,1,RegulonDB_TF
Nac,mcrB,b4346,-,1,RegulonDB_TF
Nac,metE,b3829,+,1,RegulonDB_TF
Nac,metR,b3828,-,1,RegulonDB_TF
Nac,mglA,b2149,-,1,RegulonDB_TF
Nac,mglB,b2150,-,1,RegulonDB_TF
Nac,groS,b4142,+,1,RegulonDB_TF
Nac,mreC,b3250,-,1,RegulonDB_TF
Nac,nanA,b3225,-,1,RegulonDB_TF
Nac,narK,b1223,-,1,RegulonDB_TF
Nac,narX,b1222,-,1,RegulonDB_TF
Nac,nusA,b3169,-,1,RegulonDB_TF
Nac,nusB,b0416,-,1,RegulonDB_TF
Nac,ompA,b0957,-,1,RegulonDB_TF
Nac,ompF,b0929,-,1,RegulonDB_TF
Nac,ompR,b3405,-,1,RegulonDB_TF
Nac,ompT,b0565,-,1,RegulonDB_TF
Nac,oppA,b1243,+,1,RegulonDB_TF
Nac,oppC,b1245,-,1,RegulonDB_TF
Nac,osmB,b1283,+,1,RegulonDB_TF
Nac,pfkB,b1723,+,1,RegulonDB_TF
Nac,phoB,b0399,-,1,RegulonDB_TF
Nac,pstS,b3728,-,1,RegulonDB_TF
Nac,malY,b1622,-,1,RegulonDB_TF
Nac,lysU,b4129,-,1,RegulonDB_TF
Nac,pntA,b1603,-,1,RegulonDB_TF
Nac,lysR,b2839,-,1,RegulonDB_TF
Nac,hemH,b0475,-,1,RegulonDB_TF
Nac,hfq,b4172,-,1,RegulonDB_TF
Nac,htpG,b0473,-,1,RegulonDB_TF
Nac,htpX,b1829,-,1,RegulonDB_TF
Nac,hupA,b4000,+,1,RegulonDB_TF
Nac,icd,b1136,+,1,RegulonDB_TF
Nac,ilvN,b3670,-,1,RegulonDB_TF
Nac,intD,b0537,-,1,RegulonDB_TF
Nac,katG,b3942,-,1,RegulonDB_TF
Nac,hemB,b0369,-,1,RegulonDB_TF
Nac,gor,b3500,-,1,RegulonDB_TF
Nac,gltP,b4077,-,1,RegulonDB_TF
Nac,kbl,b3617,-,1,RegulonDB_TF
Nac,kdsA,b1215,-,1,RegulonDB_TF
Nac,lepA,b2569,+,1,RegulonDB_TF
Nac,lepB,b2568,-,1,RegulonDB_TF
Nac,leuO,b0076,-,1,RegulonDB_TF
Nac,livH,b3457,+,1,RegulonDB_TF
Nac,livK,b3458,-,1,RegulonDB_TF
Nac,gltA,b0720,-,1,RegulonDB_TF
Nac,livM,b3456,-,1,RegulonDB_TF
Nac,lrp,b0889,-,1,RegulonDB_TF
Nac,lysA,b2838,+,1,RegulonDB_TF
Nac,pldA,b3821,-,1,RegulonDB_TF
Nac,polA,b3863,-,1,RegulonDB_TF
Nac,ppdC,b2823,+,1,RegulonDB_TF
Nac,mltD,b0211,-,1,RegulonDB_TF
Nac,dld,b2133,-,1,RegulonDB_TF
Nac,ddlA,b0381,-,1,RegulonDB_TF
Nac,dcp,b1538,+,1,RegulonDB_TF
Nac,sucA,b0726,-,1,RegulonDB_TF
Nac,dcm,b1961,-,1,RegulonDB_TF
Nac,dapB,b0031,-,1,RegulonDB_TF
Nac,cysS,b0526,-,1,RegulonDB_TF
Nac,tdcA,b3118,-,1,RegulonDB_TF
Nac,cysJ,b2764,-,1,RegulonDB_TF
Nac,cynT,b0339,-,1,RegulonDB_TF
Nac,cydA,b0733,+,1,RegulonDB_TF
Nac,tdcR,b3119,-,1,RegulonDB_TF
Nac,thrS,b1719,-,1,RegulonDB_TF
Nac,tnaA,b3708,-,1,RegulonDB_TF
Nac,tnaB,b3709,-,1,RegulonDB_TF
Nac,tolB,b0740,-,1,RegulonDB_TF
Nac,trxB,b0888,-,1,RegulonDB_TF
Nac,uhpA,b3669,-,1,RegulonDB_TF
Nac,sbcD,b0398,-,1,RegulonDB_TF
Nac,yajD,b0410,-,1,RegulonDB_TF
Nac,ybgC,b0736,-,1,RegulonDB_TF
Nac,uvrY,b1914,-,1,RegulonDB_TF
Nac,xapR,b2405,-,1,RegulonDB_TF
Nac,dnaA,b3702,-,1,RegulonDB_TF
Nac,srlR,b2707,-,1,RegulonDB_TF
Nac,ppc,b3956,-,1,RegulonDB_TF
Nac,dppA,b3544,-,1,RegulonDB_TF
Nac,ppiB,b0525,-,1,RegulonDB_TF
Nac,pstC,b3727,-,1,RegulonDB_TF
Nac,glpK,b3926,-,1,RegulonDB_TF
Nac,ptrA,b2821,-,1,RegulonDB_TF
Nac,pyrB,b4245,-,1,RegulonDB_TF
Nac,mnmG,b3741,-,1,RegulonDB_TF
Nac,rcsA,b1951,-,1,RegulonDB_TF
Nac,rep,b3778,-,1,RegulonDB_TF
Nac,gdhA,b1761,-,1,RegulonDB_TF
Nac,rfaH,b3842,+,1,RegulonDB_TF
Nac,fliD,b1924,-,1,RegulonDB_TF
Nac,rpmH,b3703,+,1,RegulonDB_TF
Nac,rpoZ,b3649,-,1,RegulonDB_TF
Nac,sdaA,b1814,-,1,RegulonDB_TF
Nac,sdhC,b0721,+,1,RegulonDB_TF
Nac,sdiA,b1916,-,1,RegulonDB_TF
Nac,gabT,b2662,+,1,RegulonDB_TF
Nac,fucA,b2800,-,1,RegulonDB_TF
Nac,serA,b2913,-,1,RegulonDB_TF
Nac,fliC,b1923,-,1,RegulonDB_TF
Nac,gmk,b3648,+,1,RegulonDB_TF
Nac,fepE,b0587,-,1,RegulonDB_TF
Nac,acrE,b3265,-,1,RegulonDB_TF
Nac,yijO,b3954,-,1,RegulonDB_TF
Nac,yjbB,b4020,-,1,RegulonDB_TF
Nac,cho,b1741,-,1,RegulonDB_TF
Nac,dhaK,b1200,-,1,RegulonDB_TF
Fnr,bidA,b1593,+,1,RegulonDB_TF
Fnr,ydfO,b1549,+,1,RegulonDB_TF
Fnr,ydfZ,b1541,+,1,RegulonDB_TF
Fnr,ortT,b1445,+,1,RegulonDB_TF
Fnr,dcuC,b0621,+,1,RegulonDB_TF
Nac,ycgV,b1202,+,1,RegulonDB_TF
Nac,ymjA,b1295,-,1,RegulonDB_TF
Nac,abgA,b1338,-,1,RegulonDB_TF
Nac,abgR,b1339,-,1,RegulonDB_TF
Fnr,caiF,b0034,+,1,RegulonDB_TF
Nac,ydaT,b1358,-,1,RegulonDB_TF
Nac,ydaU,b1359,+,1,RegulonDB_TF
Nac,ynaK,b1365,+,1,RegulonDB_TF
Fnr,ybdZ,b4511,+,1,RegulonDB_TF
Nac,stfR,b1372,-,1,RegulonDB_TF
Nac,tfaR,b1373,-,1,RegulonDB_TF
Nac,pinR,b1374,-,1,RegulonDB_TF
Nac,ompN,b1377,-,1,RegulonDB_TF
Fnr,feoC,b3410,+,1,RegulonDB_TF
Nac,ydcI,b1422,+,1,RegulonDB_TF
Nac,dhaR,b1201,+,1,RegulonDB_TF
Nac,ycgJ,b1177,-,1,RegulonDB_TF
Nac,ycgX,b1161,+,1,RegulonDB_TF
Nac,ybeT,b0647,+,1,RegulonDB_TF
Nac,ybeU,b0648,-,1,RegulonDB_TF
Nac,ybhD,b0768,+,1,RegulonDB_TF
Nac,ybhH,b0769,-,1,RegulonDB_TF
Nac,ybhI,b0770,-,1,RegulonDB_TF
Nac,ybhM,b0787,+,1,RegulonDB_TF
Nac,mcbA,b0806,-,1,RegulonDB_TF
Nac,rlmF,b0807,+,1,RegulonDB_TF
Nac,ybjP,b0865,+,1,RegulonDB_TF
Nac,ybjQ,b0866,+,1,RegulonDB_TF
Nac,ybjX,b0877,-,1,RegulonDB_TF
Fnr,yffS,b2450,+,1,RegulonDB_TF
Nac,ycaN,b0900,+,1,RegulonDB_TF
Fnr,yfcZ,b2343,+,1,RegulonDB_TF
Nac,ssuE,b0937,-,1,RegulonDB_TF
Nac,elfA,b0938,+,1,RegulonDB_TF
Nac,elfG,b0941,-,1,RegulonDB_TF
Nac,yccM,b0992,-,1,RegulonDB_TF
Nac,rutB,b1011,+,1,RegulonDB_TF
Nac,pgaA,b1024,+,1,RegulonDB_TF
Nac,dgcT,b1025,-,1,RegulonDB_TF
Nac,bssS,b1060,+,1,RegulonDB_TF
Nac,rluE,b1135,+,1,RegulonDB_TF
Nac,ybeQ,b0644,+,1,RegulonDB_TF
Nac,ynfA,b1582,-,1,RegulonDB_TF
Nac,ynfB,b1583,+,1,RegulonDB_TF
Nac,ynfD,b1586,-,1,RegulonDB_TF
Nac,ynfE,b1587,-,1,RegulonDB_TF
Nac,ynfF,b1588,-,1,RegulonDB_TF
Nac,ynfG,b1589,+,1,RegulonDB_TF
Nac,bidA,b1593,-,1,RegulonDB_TF
Nac,ydgH,b1604,-,1,RegulonDB_TF
Nac,fumD,b1675,-,1,RegulonDB_TF
Nac,ydiL,b1689,+,1,RegulonDB_TF
Nac,ydiM,b1690,-,1,RegulonDB_TF
Nac,ydiO,b1695,-,1,RegulonDB_TF
Nac,ydiP,b1696,-,1,RegulonDB_TF
Nac,rflP,b1707,+,1,RegulonDB_TF
Nac,ydiY,b1722,-,1,RegulonDB_TF
Nac,yniB,b1726,-,1,RegulonDB_TF
Nac,hxpB,b1727,-,1,RegulonDB_TF
Nac,ydfR,b1555,-,1,RegulonDB_TF
Nac,tfaQ,b1546,-,1,RegulonDB_TF
Fnr,garD,b3128,+,1,RegulonDB_TF
Fnr,msrB,b1778,-,1,RegulonDB_TF
Fnr,yibN,b3611,+,1,RegulonDB_TF
Nac,ortT,b1445,-,1,RegulonDB_TF
Nac,ydcY,b1446,-,1,RegulonDB_TF
Nac,ydcZ,b1447,-,1,RegulonDB_TF
Fnr,uraA,b2497,+,1,RegulonDB_TF
Fnr,feoB,b3409,+,1,RegulonDB_TF
Fnr,feoA,b3408,+,1,RegulonDB_TF
Nac,curA,b1449,-,1,RegulonDB_TF
Nac,ansP,b1453,-,1,RegulonDB_TF
Nac,ddpC,b1485,-,1,RegulonDB_TF
Nac,ydeP,b1501,-,1,RegulonDB_TF
Nac,ydeQ,b1502,-,1,RegulonDB_TF
Nac,yneK,b1527,+,1,RegulonDB_TF
Nac,ydfK,b1544,-,1,RegulonDB_TF
Nac,pinQ,b1545,-,1,RegulonDB_TF
