,gene_id,database,kegg_id
426,b0114,KEGG_pathway,map00620
427,b0114,KEGG_pathway,map01100
428,b0114,KEGG_pathway,map01110
429,b0114,KEGG_pathway,map01120
430,b0114,KEGG_pathway,map01130
431,b0114,KEGG_pathway,map01200
440,b0115,KEGG_pathway,map00010
441,b0115,KEGG_pathway,map00020
442,b0115,KEGG_pathway,map00620
443,b0115,KEGG_pathway,map01100
444,b0115,KEGG_pathway,map01110
445,b0115,KEGG_pathway,map01120
446,b0115,KEGG_pathway,map01130
447,b0115,KEGG_pathway,map01200
460,b0116,KEGG_pathway,map00010
461,b0116,KEGG_pathway,map00020
462,b0116,KEGG_pathway,map00260
463,b0116,KEGG_pathway,map00280
464,b0116,KEGG_pathway,map00620
465,b0116,KEGG_pathway,map00630
466,b0116,KEGG_pathway,map00640
467,b0116,KEGG_pathway,map01100
468,b0116,KEGG_pathway,map01110
469,b0116,KEGG_pathway,map01120
470,b0116,KEGG_pathway,map01130
471,b0116,KEGG_pathway,map01200
472,b0117,KEGG_pathway,-
484,b0118,KEGG_pathway,map00020
485,b0118,KEGG_pathway,map00630
486,b0118,KEGG_pathway,map00640
487,b0118,KEGG_pathway,map00720
488,b0118,KEGG_pathway,map01100
489,b0118,KEGG_pathway,map01110
490,b0118,KEGG_pathway,map01120
491,b0118,KEGG_pathway,map01130
492,b0118,KEGG_pathway,map01200
493,b0118,KEGG_pathway,map01210
494,b0118,KEGG_pathway,map01230
495,b0119,KEGG_pathway,-
499,b0120,KEGG_pathway,map00270
500,b0120,KEGG_pathway,map00330
501,b0120,KEGG_pathway,map01100
507,b0121,KEGG_pathway,map00270
508,b0121,KEGG_pathway,map00330
509,b0121,KEGG_pathway,map00410
510,b0121,KEGG_pathway,map00480
511,b0121,KEGG_pathway,map01100
512,b0122,KEGG_pathway,-
515,b0123,KEGG_pathway,map00860
516,b0123,KEGG_pathway,map01110
521,b0124,KEGG_pathway,map00030
522,b0124,KEGG_pathway,map01100
523,b0124,KEGG_pathway,map01110
524,b0124,KEGG_pathway,map01130
529,b0125,KEGG_pathway,map00230
530,b0125,KEGG_pathway,map00983
531,b0125,KEGG_pathway,map01100
532,b0125,KEGG_pathway,map01110
534,b0126,KEGG_pathway,map00910
535,b0127,KEGG_pathway,-
536,b0128,KEGG_pathway,-
537,b0129,KEGG_pathway,-
538,b0130,KEGG_pathway,-
543,b0131,KEGG_pathway,map00410
544,b0131,KEGG_pathway,map00770
545,b0131,KEGG_pathway,map01100
546,b0131,KEGG_pathway,map01110
547,b0132,KEGG_pathway,-
552,b0133,KEGG_pathway,map00410
553,b0133,KEGG_pathway,map00770
554,b0133,KEGG_pathway,map01100
555,b0133,KEGG_pathway,map01110
559,b0134,KEGG_pathway,map00770
560,b0134,KEGG_pathway,map01100
